No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
166,Guide,ST,Comment devenir membre du réseau Mobility et quels sont les tarifs d'abonnement ?,"Vous n'avez pas encore 28 ans?

mobilityYOUNG est l'offre que vous propose Mobility.

Souscription en ligne : mobilityYOUNG – sans engagement, pour les moins de 28 ans

​Mobility ce sont 3'120 véhicules répartis sur plus de 1'530 emplacements dans toute la Suisse. Dans la ville de Fribourg et son agglomération, Mobility dispose en tout de 21 emplacements avec 36 véhicules dont un véhicule au parking de la HEIA-FR (emplacement : Fribourg Plateau-de-Pérolles)​.",Wie kann ich Mobility-Mitglied werden und was kostet ein Abonnement?,"Hast du den 28. Geburtstag noch vor dir?

Dann ist mobilityYOUNG das klar beste Angebot für dich. 

Anmeldung online : mobilityYOUNG - Günstig und flexibel für unter 28-Jährige

An über 1530 Standorten in der Schweiz stellt die Genossenschaft Mobility ihren Kunden insgesamt 3120 Fahrzeuge zur Verfügung. In der Stadt und im Grossraum Freiburg sind es 36 Fahrzeuge auf 21 Standorte verteilt. ​An der HTA-FR stehen ein Mobility-Fahrzeug zur Verfügung (Standort : Fribourg Plateau-de-Pérolles).",HEIA,Infrastructure
167,Guide,SCOM,Quelles sont les zones de stationnement publiques ?,"Les étages intermédiaire et supérieur du parking situé derrière la HEIA-FR sont réservés au public pour une durée de stationnement maximale d’une journée avec tarif progressif. Au chemin du Musée, la durée de stationnement public est de 4 heures maximum. Les autorisations de stationnement ne sont pas valables dans ces zones.
Voir la vidéo : 
https://go.heia-fr.ch/is-2",Wo gibt es öffentliche Parkplätze?,"Die Parkplätze auf der mittleren und oberen Etage des Parkhauses hinter der HTA-FR sind öffentlich und können für eine Parkzeit von höchstens einem Tag (progressiver Tarif) benutzt werden. Am Chemin du Musée ist das öffentliche Parkieren auf höchstens 4 Stunden beschränkt. In diesen Zonen sind die Parkbewilligungen ungültig.
> Video 
https://go.hta-fr.ch/is-2",HEIA,Infrastructure
168,Guide,ST,Puis-je obtenir une autorisation de parking et quelles en sont les conditions ?,"Le nombre d’autorisations est restreint et, pour la HEIA-FR, la demande est plus importante que la quantité d’autorisations disponibles. Le parking prévu à cet effet est à disposition des collaborateurs et collaboratrices non seulement de la HEIA-FR, mais aussi de l’École des Métiers, du laboratoire cantonal, du Musée d’histoire naturelle et de l’Université. Exceptionnellement, des vignettes payantes peuvent être accordées temporairement aux étudiant-e-s obligé-e-s, pour un empêchement majeur, d’utiliser leur voiture privée pour venir à la HEIA-FR. Ces situations particulières seront examinées au cas par cas. Pour l’octroi d’une vignette, le covoiturage est vivement recommandé.",Kann ich eine Parkbewilligung erhalten und zu welchen Bedingungen?,"Die Zahl der Parkbewilligungen für die HTA-FR ist beschränkt. Die Nachfrage ist höher als die verfügbaren Bewilligungen. Die Parkplätze werden nicht nur von den Mitarbeitenden der HTA-FR, sondern auch von anderen Institutionen (Lehrwerkstätten, Kantonslabor, Naturhistorisches Museum und Universität) benutzt. In Ausnahmefällen, wenn jemand sein Privatauto benutzen muss, können kostenpflichtige Vignetten ausgestellt werden. Diesbezügliche Anfragen werden individuell geprüft. Fahrgemeinschaften zwischen Studierenden aus Regionen mit schlechten ÖV-Verbindungen können ggf. eine Parkierbewilligung erhalten.",HEIA,"Infrastructure
Formation"
169,Guide,SCOM,Quelles sont les associations professionnelles ?,"swiss engineering UTS / www.swissengineering.ch 
Société suisse des ingénieurs et des architectes (SIA) / contact@sia.ch / www.sia.ch 
Association des diplômés HES en chimie, sciences de la vie et biotechnologie (SVC) sekretariat@svc.ch / www.svc.ch 
Société suisse de chimie (SSC) info@scg.ch / www.scg.ch 
Société suisse du génie chimique (SGVC) / www.sgvc.ch
Electrosuisse - Association pour l'électrotechnique, les technologies de 32 9. Vie hors de l’école l'énergie et de l'information info@electrosuisse.ch / www.electrosuisse.ch 
Les électriciens romands info@electricite.ch / www.electricite.ch 
GESO – Groupement Électronique de Suisse Occidentale geso@gesonet.ch / www.geso.ch 
Association Suisse des Télécommunications (asut) info@asut.ch / www.asut.ch 
ICTSWITZERLAND – information and communication technology info@ictswitzerland.ch / www.ictswitzerland.ch 
Swissict info@swissict.ch / www.swissict.ch 
Swissmem / www.swissmem.ch 
Groupement suisse de l’industrie mécanique GIM-CH / www.gim-ch.ch 
Société Suisse des Entrepreneurs (SSE) / www.entrepreneur.ch 
Association suisse des professionnels de la route et des transports (VSS) / http://www.vss.ch/fr/ 
Association professionnelle pour l'eau en Suisse (VSA) / https://www.vsa.ch 
Fédération des Architectes Suisses (FAS) / https://www.bsa-fas.ch/fr/ 
Groupement professionnel des architectes de suisse occidentale (GPS-SO) / http://gpa-so.ch",Was gibt es für Berufsverbände?,"Swiss engineering UTS:  www.swissengineering.ch
SIA: Schweizerischer Ingenieur und Architektenverein SIA   contact@sia.ch / www.sia.ch
SVC: Berufsverband für FH-Absolventinnen und -Absolventen der Bereiche Chemie, Life Science und Biotechnologie  sekretariat@svc.ch / www.svc.ch
SCG: Schweizerische Chemische Gesellschaft  info@scg.ch / www.scg.ch
SGVC: Schweizerische Gesellschaft der Verfahrens- und ChemieingenieurInnen  www.sgvc.ch
Electrosuisse: Fachverband für Elektro-, Energie- und Informationstechnik info@electrosuisse.ch / www.electrosuisse.ch
Les électriciens romands  info@electricite.ch / www.electricite.ch
GESO: Groupement Électronique de Suisse Occidentale geso@gesonet.ch / www.geso.ch
ASUT: Schweizerischer Verband  der Telekommunikation  info@asut.ch / www.asut.ch
ICTswitzerland:  information and communication technology info@ictswitzerland.ch / www.ictswitzerland.ch
Swissict  info@swissict.ch / www.swissict.ch
Swissmem  www.swissmem.ch
GIM-CH: Groupement suisse de l’industrie mécanique www.gim-ch.ch
SBV: Schweizerischer Baumeisterverband  www.baumeister.ch
VSA: Fachverband für Wasser in der Schweiz  www.vsa.ch
VSS: Schweizerischer Verband der Strassen- und Verkehrsfachleute  www.vss.ch
BSA: Bund Schweizer Architekten  www.bsa-fas.ch
GPA-SO: Groupement professionnel des architectes de suisse occidentale  gpa-so.ch",HEIA,Formation
170,Guide,SCOM,Qu'est-ce que l'association estudiantine Alumni ?,"L’association des Alumni comprend les ancien·ne·s étudiant·e·s de la HEIA-FR. Son but principal est de maintenir et faciliter un échange professionnel dans les différents domaines de l’ingénierie. L’association des Alumni est membre de FH Suisse – Association faîtière des diplômé·e·s et offre diverses prestations à tous ses membres. 
info@alumni.eia-fr.ch 
go.heia-fr.ch/alumni",Was ist der Verein Alumni?,"Alumni ist der Verein der ehemaligen Studierenden der HTA-FR. Hauptziel ist, den Austausch zwischen den Alumni aufrechtzuerhalten und das berufliche Networking zu fördern. Der Verein ist Mitglied der FH Schweiz, dem Dachverband der Absolventinnen und Absolventen von Fachhochschulen, und seine Mitglieder profitieren von interessanten Angeboten und Dienstleistungen. 
info@alumni.eia-fr.ch
go.hta-fr.ch/alumni",HEIA,Formation
171,Guide,SCOM,Qu'est-ce que la société Activitas ?,Merci de consulter : https://www.heia-fr.ch/fr/haute-ecole/campus-haute-ecole-fribourg-heiafr/associations/activitas/,Was ist die Activitas?,"Activitas ist eine Studentenverbindung. 
Mehr dazu > https://www.heia-fr.ch/de/hochschule/campus/verbindungen/activitas/",HEIA,Formation
172,Guide,SACAD,Quelles sont mes obligations en tant qu'étudiant·e en matière d'assurance contre la maladie et les accidents ?,"Les étudiant·e·s sont tenu·e·s de s’assurer contre la maladie et les accidents. 
En cas de revenu modeste, une dispense de l’assurance peut être délivrée par le service de la santé publique. (go.heia-fr.ch/assurance-obligatoire). 
Les étudiant·e·s doivent en outre disposer d’une assurance responsabilité civile les couvrant contre tout dommage causé à un tiers.
",Wie müssen die Studierenden gegen Krankheit und Unfall versichert sein?,"Studierende müssen grundsätzlich eine Kranken- und Unfallversicherung haben.
Personen mit bescheidenem Einkommen können vom Amt für Gesundheit von der Versicherungspflicht befreit werden. Mehr dazu > go.hta-fr.ch/versicherungspflicht
Des Weiteren müssen alle Studierenden eine Haftpflichtversicherung haben, die Schäden an Dritten deckt.",HEIA,Formation
173,Guide,SACAD,Dois-je cotiser à l'AVS ?,La loi sur l'AVS impose aux étudiant·e·s suisses et étrangers domicilé·e·s en Suisse de cotiser dès le 1er janvier suivant leur 20ème anniversaire. Les étudiant·e·s sans activité lucrative paient en principe CHF 480.--/an. Des renseignements plus précis peuvent être obtenus auprès des caisses de compensation de chaque canton. Plus d'infos: www.avs-ai.info,Muss ich AHV-Beiträge leisten?,"Das AHV-Gesetz schreibt vor, dass alle Schweizer und ausländischen Studierenden mit Wohnsitz in der Schweiz ab dem 1. Januar nach ihrem 20. Geburtstag AHV-Beiträge leisten müssen. Studierende ohne Erwerbseinkommen zahlen in der Regel CHF 480.– pro Jahr. Mehr Infos dazu gibt es bei den kantonalen Ausgleichskassen. Mehr dazu > www.avs-ai.info/de/",HEIA,Formation
174,Guide,SCOM,"Cosamo - Consultation Santé Mozaïk, qu'est-ce que c'est ? Puis-je consulter un·e professionnel·le pour mes soucis de santé ?","Les étudiant·e·s en soins infirmiers et en ostéopathie de la HEdS-FR et les étudiant·e·s en médecine de l'université de Fribourg sont là pour toi : contraception, douleurs menstruelles ou dorsales, blessures de sport, maux de tête ou de ventre, troubles du sommeil, etc.
Plus d'informations:
https://www.heds-fr.ch/fr/ecole/cosamo/ 

Pour un soutien psychologique, social ou en matière de harcèlement sexuel, le service HELP est à votre disposition. 
Plus d'informations: https://www.hefr.ch/fr/hesso-fr/conseils/help-soutien-psychosocial/ ","Was ist die Gesundheitssprechstunde «CoSaMo - Consultation Santé Mozaïk»? 
An wen kann ich mich bei gesundheitlichen Problemen wenden?
","Die Pflege- und Osteopathiestudierenden der HfG-FR (HEdS-FR) und die Medizinstudierenden der UNI-FR sind für Sie da bei Verhütungsfragen, Menstruations- oder Rückenschmerzen, Sportverletzungen, Kopf- oder Bauchschmerzen, Schlafstörungen usw. 
Mehr dazu:
https://www.heds-fr.ch/de/die-hochschule/cosamo/

Für psychologische und soziale Unterstützung sowie bei sexueller Belästigung können sich die Studierenden an die Beratungsstelle HELP wenden.
Mehr dazu:
https://www.hefr.ch/de/hesso-fr/beratung/help-psychosoziale-unterstuetzung/",HEIA,Formation
175,Guide,SCOM,Qu'est ce que la carte isic et comment puis-je l'obtenir ?,"Sur le site Internet www.isic.ch, il est possible de commander une carte intitulée ISIC (International Student Identity Card) au prix de CHF 20.–. Ce document permet d’attester de son statut d’étudiant·e lorsque l’on voyage à l’étranger et de bénéficier ainsi des meilleurs prix. Il suffit de transmettre une copie d'une pièce d'identité, une attestation d'étude et une photo d'identité. Il est utile de préciser que cette carte est véritablement reconnue partout dans le monde et que la plupart du temps, elle est seule à faire foi du statut d’étudiant·e.
","Was ist die ISIC-Karte und wo kann ich eine solche Karte erhalten?
","Über die Website www.isic.ch kann zum Preis von CHF 20.– eine ISIC-Karte (International Student Identity Card) bestellt werden. Diese Karte kann auf Reisen im Ausland als Studierendenausweis benutzt werden, um von Rabatten zu profitieren. Um eine ISIC-Karte zu erhalten, ist die Kopie eines Identitätsausweises, eine Studienbestätigung und ein Passfoto einzureichen. Die ISIC-Karte wird weltweit anerkannt und ist vielerorts der einzige anerkannte Studierendenausweis. ",HEIA,Formation
176,Guide,SCOM,"Où sortir?
","Manger varié et à bon prix 
Le 83, Pérolles 83
L'Artisan, Rue de Lausanne 48
Baguettes d’Or, Rue Locarno 1 
Barrio Fribourg, Rue Locarno 1
Ben&Léo, Fonderie 11 
Can Dersim, Pérolles 75 
Chez Meo, Rue Marcello 2 
Le Commerce, Pérolles 69 
Crazy Wolf, Rue de l’Hôpital 25 
Le Cyclo, Pérolles 91 
Le Domino, Pérolles 33 
Étoile d’Or, Pérolles 59 
Gundî, Rue de l'Abbé-Bovet 1
Holy Cow, Rue de Lausanne 6 
Idées crétoises, Pérolles 30 
Ici c’est le Pérou, Rte St-Michel 7 
L’imprévu, Pérolles 93 
Le Lotus, Pérolles 81 
Les Menteurs, Passage du Cardinal 1 
Le Mondial, Rue de l’Hôpital 39 
Monsieur Kumpir & Kebab, Pérolles 57 
Pizzeria Mirabeau, Pérolles 73 
Le Populaire, Rue St-Michel 9 
La Tapería, Rue St-Michel 5 
Le Tunnel, Grand-Rue 68 
Le Voisin, Rte des Daillettes 1 
Sixty Five, Pérolles 65
Vietnam House, Rue St-Michel 3
",Wo ausgehen?,"Gut und günstig essen
Le 83, Pérolles 83
L'Artisan, Rue de Lausanne 48
Baguettes d’Or, Rue Locarno 1 
Barrio Fribourg, Rue Locarno 1
Ben&Léo, Fonderie 11 
Can Dersim, Pérolles 75 
Chez Meo, Rue Marcello 2 
Le Commerce, Pérolles 69 
Crazy Wolf, Rue de l’Hôpital 25 
Le Cyclo, Pérolles 91 
Le Domino, Pérolles 33 
Étoile d’Or, Pérolles 59 
Gundî, Rue de l'Abbé-Bovet 1
Holy Cow, Rue de Lausanne 6 
Idées crétoises, Pérolles 30 
Ici c’est le Pérou, Rte St-Michel 7 
L’imprévu, Pérolles 93 
Le Lotus, Pérolles 81 
Les Menteurs, Passage du Cardinal 1 
Le Mondial, Rue de l’Hôpital 39 
Monsieur Kumpir & Kebab, Pérolles 57 
Pizzeria Mirabeau, Pérolles 73 
Le Populaire, Rue St-Michel 9 
La Tapería, Rue St-Michel 5 
Le Tunnel, Grand-Rue 68 
Le Voisin, Rte des Daillettes 1 
Sixty Five, Pérolles 65
Vietnam House, Rue St-Michel 3",HEIA,Formation
177,Guide,SCOM,"Où sortir?
","Concert
Fri-Son, Route de la Fonderie 13 www.fri-son.ch 
Nouveau Monde, Av de la Gare 3 www.nouveaumonde.ch 
La Spirale, Place du Petit-St-Jean 39 www.laspirale.ch 
Bad Bonn, Bonnstrasse 2, Düdingen www.badbonn.ch",Wo ausgehen?,"Konzerte
Fri-Son, Route de la Fonderie 13 www.fri-son.ch 
Nouveau Monde, Av de la Gare 3 www.nouveaumonde.ch 
La Spirale, Place du Petit-St-Jean 39 www.laspirale.ch 
Bad Bonn, Bonnstrasse 2, Düdingen www.badbonn.ch
",HEIA,Formation
178,Guide,SCOM,"Où sortir?
","Bars 
Le XXe , Avenue de Tivoli 3 
L’Ancienne gare, Av. de la Gare 3 
Banshee’s Lodge Pub, Rue d’Or 5 
Belvédère, Grand-Rue 36 
Le Cintra, Boulevard de Pérolles 10
La Habana, Rue de Romont 1 
Lapart, Grand-Places 14 
Paddy Reilly’s Irish pub, Grand-Places 12
Talkwine, Rue de Romont 29/31
TM Café, Rue de Romont 29/31 
Les Trentenaires, Rue de Lausanne 87 ",Wo ausgehen?,"Bars 
Le XXe , Avenue de Tivoli 3 
L’Ancienne gare, Av. de la Gare 3 
Banshee’s Lodge Pub, Rue d’Or 5 
Belvédère, Grand-Rue 36 
Le Cintra, Boulevard de Pérolles 10
La Habana, Rue de Romont 1 
Lapart, Grand-Places 14 
Paddy Reilly’s Irish pub, Grand-Places 12
Talkwine, Rue de Romont 29/31
TM Café, Rue de Romont 29/31 
Les Trentenaires, Rue de Lausanne 87 ",HEIA,Formation
